public_owner_id,voice_id,date_unix,name,accent,gender,age,descriptive,use_case,category,language,description,preview_url,usage_character_count_1y,usage_character_count_7d,play_api_usage_character_count_1y,cloned_by_count,rate,free_users_allowed,live_moderation_enabled,featured,notice_period,instagram_username,twitter_username,youtube_username,tiktok_username,image_url
4baf3553f3f179389c6aafc6ee6c379fffeaac5c23b45594520b34f3da96c825,NFG5qt843uXKj4pFvR7C,1715382478,Adam Stone - late night radio,british,male,middle_aged,meditative,narrative_story,narrative_story,en,"A middle aged 'Brit' with a velvety laid back, late night talk show host timbre.",https://storage.googleapis.com/eleven-public-prod/custom/voices/NFG5qt843uXKj4pFvR7C/BgPFcmyMBm88O9O05Myn.mp3,239863024,13065676,136351159,119360,1.0,True,False,False,90.0,,,,,
3faac6dcbbd5f188317e3336732e56a34190e84ac9ed772320a895227c7ffe67,gUABw7pXQjhjt0kNFBTF,1713021380,Andrew - Smooth audio books,american,male,middle_aged,calm,narrative_story,narrative_story,en,"Middle age American male, smooth voice. Suitable for Audiobooks, promotional voice overs.",https://storage.googleapis.com/eleven-public-prod/eR8GN1SLARV1SsZrwn2eoVNdIwg2/voices/gUABw7pXQjhjt0kNFBTF/f5776657-1bda-4fa8-8170-65d3164d02e7.mp3,111716492,10529464,100351057,41933,1.0,True,False,False,730.0,,,,,
e9a6840c69b79812b77ea81fa11d55aaf80dcf1938fa0137bf7f514f67f75c99,7fbQ7yJuEo56rYjrYaEh,1713433940,John Doe - Intimate,american,male,middle_aged,calm,narrative_story,narrative_story,en,Middle aged American male accent. Voice is Intimate and warm. Perfect for audiobooks.,https://storage.googleapis.com/eleven-public-prod/custom/voices/7fbQ7yJuEo56rYjrYaEh/6fgTpDxjGJqiV9bvPnsZ.mp3,115621410,15867466,51080121,84883,1.0,True,False,False,730.0,,,,,
661c1a9d6ab0009b6a48404a87e3697910d6fef29ba8b3a7114c23b7c7876263,dpe9OBKZEK1BHfVjZ1n2,1712412817,Long Storyteller,american,male,middle_aged,cute,narrative_story,narrative_story,en,"Middle aged American-Irish-British male with a clear, cute & confident voice. Suitable for long stories, movie recaps.",https://storage.googleapis.com/eleven-public-prod/js4OIExG9yaUOSJXoykEdmZpXcu1/voices/dpe9OBKZEK1BHfVjZ1n2/b7b7a9c3-b7fc-4f9a-937a-2b5daa25f1d9.mp3,76405850,8742168,42629405,29413,1.0,True,False,False,730.0,,,,,
3d1fa6a5595e0a31fff8d7c1a2f2794b91ca87ddd200066dfbdfcef662a65a1b,j9jfwdrw7BRfcR43Qohk,1712154518,Frederick Surrey,british,male,middle_aged,calm,narrative_story,narrative_story,en,"Professional, calm, well spoken British narrator full of intrigue and wonder. Suitable for Nature, Science, Mystery & History documentaries or audio books & narration projects that need a smooth & velvety tone. ",https://storage.googleapis.com/eleven-public-prod/custom/voices/j9jfwdrw7BRfcR43Qohk/Vyj86dr4NJ1Tr82nEPdw.mp3,160896600,5641762,113035787,29323,1.0,True,False,False,730.0,,,,,
76c9cb1aa5bde66e61587de2b16dd92ca167852393360a9c1f7e567f229a31b4,rCmVtv8cYU60uhlsOo1M,1709930568,Ana,british,female,young,upbeat,narrative_story,narrative_story,en,"Young British Female, emotional, expressive, good for children's books narration.",https://storage.googleapis.com/eleven-public-prod/JSdwiNguB8ejxX5k1f64Z6aLdP73/voices/rCmVtv8cYU60uhlsOo1M/0aaceb14-b58e-4f25-9307-61a3edfef63e.mp3,28682240,756226,99,5351,1.0,True,False,False,730.0,,,,,
f87f057c2250691953ac2e6227859706764bd08c88a055a18c74261957885a51,0ZOhGcBopt9S6GBK8tnj,1725482727,Ayesha - Energetic Indian Voice,indian,female,middle_aged,upbeat,narrative_story,narrative_story,en,"Ayesha is the pen name of a very famous and talented voice over artist and singer. Her voice is well-suited for conversational-style ads, podcasts, narrations, e-learning, engaging content, etc. Do give it a try and you will love it.",https://storage.googleapis.com/eleven-public-prod/database/user/TLzQBQZ61wQrytFwliQpe4LeshE3/voices/0ZOhGcBopt9S6GBK8tnj/Ogx9WOvdSMwuTmSfMlCd.mp3,1407084,567890,0,1306,1.0,True,False,False,730.0,,,,,
9a902560beb5fb27b2231452c4c00c97b8f85f7c4d16635ad36eca2bd0557c7a,KoQQbl9zjAdLgKZjm8Ol,1715003841,Pro Narrator - Convincing story teller,american,male,middle_aged,casual,narrative_story,narrative_story,en,Older more experienced narrator with a friendly and believable tone. Suitable for Narrations & Storytelling.,https://storage.googleapis.com/eleven-public-prod/custom/voices/KoQQbl9zjAdLgKZjm8Ol/3XVKkFok6PeKtaIjI3P8.mp3,12592932,1339982,5046990,1426,2.0,False,False,False,730.0,,,,,
e9a6840c69b79812b77ea81fa11d55aaf80dcf1938fa0137bf7f514f67f75c99,EiNlNiXeDU1pqqOPrYMO,1713280394,John Doe - Deep,american,male,middle_aged,deep,narrative_story,narrative_story,en,Middle aged American male with a very deep voice. Perfect for audiobooks.,https://storage.googleapis.com/eleven-public-prod/custom/voices/EiNlNiXeDU1pqqOPrYMO/3rnKRWNPBZ0CB1dGzjny.mp3,200938266,7167722,65506764,125716,1.0,True,False,False,730.0,,,,,
4e120f88d43f125a4c1f56885db63990e17568c80c5cca2f9f3a6459230fbeb1,e5WNhrdI30aXpS2RSGm1,1726200167,"Ian Cartwell - Suspense, Mystery and Thriller",american,male,middle_aged,modulated,narrative_story,narrative_story,en,A middle age American voice which captures the tone and pace of your favorite mystery or suspense novel.  Great for audiobooks and True Crime content. ,https://storage.googleapis.com/eleven-public-prod/database/user/T7bhqxLyENgRaSgfnqhPa6vPSID2/voices/e5WNhrdI30aXpS2RSGm1/irZ6ZTbGVA5WjVAwnZcJ.mp3,31473003,8608507,19620507,21057,1.0,True,False,True,730.0,,,,,
